Unit,bus,Technology,Fuel,cost,co2_per_mwh,max,stomax,min,stomin
AT_Coal fleet Subcritical,7,STUR,HRD,75.50015031767974,0.8191451892681981,8400,0,0,0
AT_Coal fleet Supercritical,7,STUR,HRD,57.853264925373125,0.5814343750000001,8040,0,0,0
IT_Hydro reservoir,8,HDAM,WAT,0.1,0,280634.725319693,8892937,28063.4725319693,1333941
IT_Biomass fleet,8,STUR,BIO,6.958776433418303,0,38640,0,0,0
IT_OCGT fleet Modern,8,GTUR,GAS,64.31105057776541,0.32272392290249435,2880,0,0,0
IT_OCGT fleet Standard,8,GTUR,GAS,86.03722355358602,0.5012679516417331,16704,0,0,0
IT_CCGT fleet E class,8,COMC,GAS,61.67296342731359,0.30223884559026526,5280,0,0,0
IT_CCGT fleet F class,8,COMC,GAS,55.63924261011832,0.2057587213925313,809856,0,0,0
IT_CCGT fleet G_H class,8,COMC,GAS,46.10445961285952,0.18819338842975203,25992,0,0,0
IT_CCGT fleet cogen,8,COMC,GAS,80.7927592648135,0.4599047649793389,14112,0,0,0
IT_Coal fleet IGCC,8,STUR,HRD,57.95967817324185,0.5881061174999999,13992,0,0,0
IT_Coal fleet Subcritical,8,STUR,HRD,80.37913071570715,0.8592500981188562,127128,0,0,0
IT_Coal fleet Supercritical,8,STUR,HRD,63.40081751233025,0.651941135734072,44280,0,0,0
IT_Oil fleet Subcritical,8,STUR,OIL,89.9194374940643,0.715794384752543,51984,0,0,0
GB_Nuclear energy,9,STUR,NUC,3,0,215544,0,183212.4,0
GB_Biomass fleet,9,STUR,BIO,6.955463804018717,0,45360,0,0,0
GB_OCGT fleet Modern,9,GTUR,GAS,67.08839525411364,0.37610913872452323,768,0,0,0
GB_OCGT fleet Standard,9,GTUR,GAS,93.97101912916284,0.5621623215180668,20160,0,0,0
GB_CCGT fleet E class,9,COMC,GAS,58.781033658021926,0.3093899405083829,29376,0,0,0
GB_CCGT fleet F class,9,COMC,GAS,50.30757248328988,0.2123774414261901,800160,0,0,0
GB_CCGT fleet G_H class,9,COMC,GAS,42.908632549963784,0.18706512888763902,45120,0,0,0
GB_Coal fleet Subcritical,9,STUR,HRD,82.847665236431,0.899804675021221,335736,0,0,0
GB_Oil fleet Standard,9,STUR,OIL,112.03259567885831,1.0059540816326527,9816,0,0,0
GB_Oil fleet Subcritical,9,STUR,OIL,78.06481481481481,0.6085401234567901,13824,0,0,0
IE_Biomass fleet,10,STUR,BIO,7.170373838635785,0,3692.9759999999997,0,0,0
IE_OCGT fleet Modern,10,GTUR,GAS,69.36104360034912,0.39398014404432136,2688,0,0,0
IE_OCGT fleet Standard,10,GTUR,GAS,89.56355724332414,0.5661389087362797,18168,0,0,0
IE_Lignite fleet Subcritical,10,STUR,LIG,159.60691576532284,1.5492231604938271,5424,0,0,0
IE_CCGT fleet F class,10,COMC,GAS,45.95651909786075,0.20640628680272105,70632,0,0,0
IE_CCGT fleet G_H class,10,COMC,GAS,43.16282959591188,0.18806853818181815,10440,0,0,0
IE_CCGT fleet cogen,10,COMC,GAS,73.84259646118721,0.43897170370370364,18432,0,0,0
IE_Coal fleet Subcritical,10,STUR,HRD,67.92466027465117,0.7098781159692251,34512,0,0,0
IE_Oil fleet Modern,10,STUR,OIL,71.0658427445131,0.5269376731301939,4992,0,0,0
IE_Oil fleet Standard,10,STUR,OIL,98.05222492430589,0.8233401142659281,6192,0,0,0
IE_Oil fleet Subcritical,10,STUR,OIL,77.55555555555556,0.5871126543209877,17496,0,0,0
NO_Hydro-reservoir,11,HDAM,WAT,0.1,0,722918.4397424111,82623390,72291.84397424111,12393508
NO_OCGT fleet Modern,11,GTUR,GAS,72.13269685553034,0.37020733856753724,14736,0,0,0
NO_CCGT fleet F class,11,COMC,GAS,44.831532837228934,0.21443935833324052,13608,0,0,0
SE_Hydro reservoir,12,HDAM,WAT,0.1,0,398451.9949428064,32276833,39845.19949428065,4841525
SE_Nuclear energy,12,STUR,NUC,3,0,201936,0,171645.6,0
SE_Biomass fleet,12,STUR,BIO,6.9542447102153,0,48461.664000000004,0,0,0
SE_CCGT fleet F class,12,COMC,GAS,46.702358904109595,0.227714,6000,0,0,0
SE_Oil fleet Standard,12,STUR,OIL,82.69864005793836,0.6582162629757785,4128,0,0,0
SE_Oil fleet Subcritical,12,STUR,OIL,93.93351850152023,0.7668410178886369,48024,0,0,0
FI_Hydro reservoir,13,HDAM,WAT,0.1,0,33776.04,4748130,3377.6040000000003,712220
FI_Nuclear energy,13,STUR,NUC,3,0,66768,0,56752.799999999996,0
FI_Biomass fleet,13,STUR,BIO,6.959884242337461,0,36816,0,0,0
FI_OCGT fleet Standard,13,GTUR,GAS,82.96137564958984,0.5373169570312499,5160,0,0,0
FI_Lignite fleet Subcritical,13,STUR,LIG,94.58022017770028,1.2821852662721893,13920,0,0,0
FI_CCGT fleet E class,13,COMC,GAS,66.07030102416833,0.36360621724678005,11976,0,0,0
FI_CCGT fleet F class,13,COMC,GAS,48.160112648520204,0.21920731949275105,13464,0,0,0
FI_Coal fleet Subcritical,13,STUR,HRD,85.91937807403714,0.9254469759898739,59376,0,0,0
FI_Oil fleet Standard,13,STUR,OIL,84.00123123951853,0.6702275086505189,7824,0,0,0
FI_Oil fleet Subcritical,13,STUR,OIL,77.27633435976392,0.597826388888889,10392,0,0,0
PL_Biomass fleet,14,STUR,BIO,6.985262860683446,0,17688,0,0,0
PL_Lignite fleet Subcritical,14,STUR,LIG,73.25139621478378,0.9774248162174204,166968,0,0,0
PL_Lignite fleet Supercritical,14,STUR,LIG,58.67886864792356,0.7676961731194536,47088,0,0,0
PL_CCGT fleet E class,14,COMC,GAS,59.704423748951704,0.31800113378684813,5544,0,0,0
PL_CCGT fleet F class,14,COMC,GAS,51.32464755536793,0.25072923045291406,5424,0,0,0
PL_CCGT fleet G_H class,14,COMC,GAS,42.8565665451967,0.1854393388429752,26760,0,0,0
PL_Coal fleet Subcritical,14,STUR,HRD,99.57147219463734,0.9133106361637282,352776,0,0,0
PL_Coal fleet Supercritical,14,STUR,HRD,68.16079366462876,0.6388645640074212,128736,0,0,0
PL_Oil fleet Subcritical,14,STUR,OIL,76.95654841588578,0.6021118827160494,9960,0,0,0
CH_Hydro-reservoir,15,HDAM,WAT,0.1,0,258792,9131480,25879.2,1369722
CH_Nuclear energy,15,STUR,NUC,3,0,80952,0,68809.2,0
LT_Biomass fleet,16,STUR,BIO,7.490262338817252,0,1560,0,0,0
LT_OCGT fleet Standard,16,GTUR,GAS,73.61974834167792,0.4530431804081634,2640,0,0,0
LT_CCGT fleet G_H class,16,COMC,GAS,41.138847216197696,0.18346376727272726,10680,0,0,0
LT_CCGT fleet cogen,16,COMC,GAS,71.03765125570779,0.4282236851851852,23040,0,0,0
LV_Biomass fleet,17,STUR,BIO,7.465827949676981,0,1632,0,0,0
LV_CCGT fleet E class,17,COMC,GAS,65.99803799698131,0.37885664819944603,7176,0,0,0
LV_CCGT fleet F class,17,COMC,GAS,48.75297802511417,0.23744314236111114,3456,0,0,0
LV_CCGT fleet G_H class,17,COMC,GAS,41.43377605068156,0.18084925619834707,13968,0,0,0
EE_Biomass fleet,18,STUR,BIO,7.403948652503566,0,1848,0,0,0
